Data on blood pressures measured by both a physcian and a nurse on the same visit,,,
Not a controlled experiment since the nurse's bp was measured first.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
NurseSbp,NurseDbp,PhysSbp,PhysDbp
154,106,182,114
116,72,116,70
124,68,130,70
122,78,106,64
162,110,158,108
142,98,150,98
168,88,168,92
156,88,120,78
112,66,130,72
112,74,122,82
108,72,107,65
116,74,110,80
112,92,116,84
104,74,112,74
126,68,144,90
124,70,126,78
122,80,112,80
94,68,140,80
112,84,142,82
134,80,154,96
150,82,142,82
140,70,152,30
124,88,116,86
98,64,124,72
172,100,162,90
116,68,122,82
122,76,130,86
122,82,122,80
108,74,116,80
108,70,108,70
124,80,136,98
180,96,170,92
158,82,164,90
132,94,138,104
180,102,190,104
116,78,108,74
132,84,142,78
130,82,134,96
148,100,152,82
122,68,108,62
128,80,140,88
140,90,140,96
108,68,106,70
162,70,128,84
120,72,126,78
158,90,152,96
148,92,154,94
126,80,134,72
114,70,134,80
128,66,120,78
112,68,112,76
154,88,152,86
156,84,154,92
146,72,134,76
132,88,156,80
100,70,110,80
128,82,136,88
152,88,156,94
122,78,124,70
124,78,132,94
142,100,164,108
152,82,130,80
122,76,146,84
136,76,156,70
168,86,172,90
94,60,114,60
124,76,122,76
112,70,132,86
130,88,154,82
134,84,148,92
124,70,128,72
120,80,164,92
132,78,130,78
146,80,126,80
112,70,100,76
206,78,180,90
118,88,130,78
178,94,160,94
120,90,112,82
118,72,176,74
118,80,126,80
138,92,122,86
106,70,124,76
196,98,196,94
112,66,114,72
138,74,136,86
132,90,162,99
116,84,124,90
128,78,144,74
134,90,136,98
132,84,156,103
82,60,92,60
114,70,106,62
110,66,126,84
98,58,116,74
164,94,168,94
160,72,166,78
132,80,142,94
170,100,150,84
138,90,150,86
148,90,146,90
134,86,170,92
142,108,143,90
104,64,94,56
112,74,116,84
144,84,140,82
152,90,128,82
142,76,128,80
172,88,166,98
98,68,118,74
130,76,156,94
152,100,134,90
106,64,106,70
124,80,138,76
198,98,200,100
138,84,136,92
178,100,140,80
122,78,138,82
108,62,104,66
136,82,144,76
130,80,134,84
142,88,128,86
140,80,144,84
126,82,124,88
116,78,120,80
112,84,116,82
144,84,154,84
128,72,132,78
126,72,116,64
160,88,152,82
144,90,150,86
138,88,142,98
154,80,134,76
146,76,112,74
120,72,136,76
122,68,124,68
130,90,132,82
158,100,148,88
122,90,132,84
110,90,132,86
128,86,128,94
164,92,162,94
112,70,118,70
122,78,136,80
156,96,164,106
114,82,110,80
152,110,188,124
132,80,120,66
132,82,128,72
162,88,160,96
124,70,146,94
116,80,98,72
142,102,164,90
126,76,140,70
106,68,114,72
128,90,140,88
124,84,124,88
112,70,130,76
114,66,110,64
118,74,122,74
122,78,132,92
106,70,126,82
118,72,114,66
120,80,132,88
122,84,146,98
120,78,110,70
128,90,118,78
154,92,154,96
168,92,162,102
162,86,182,96
134,98,130,78
156,96,144,92
106,70,116,72
112,74,134,76
164,86,156,90
100,74,116,76
112,82,124,70
130,80,148,92
122,60,116,72
142,94,130,86
206,122,210,126
172,92,146,92
142,82,146,90
118,82,126,90
130,76,132,94
134,80,184,110
122,86,128,90
102,64,118,72
132,96,136,88
140,86,136,76
164,92,172,96
152,78,154,92
152,90,158,104
114,82,134,80
118,66,132,74
112,74,134,80
108,62,110,64
148,96,136,98
160,102,172,102
118,78,122,78
112,68,132,74
122,80,144,80
104,72,144,80
142,92,134,80
112,86,144,72
122,80,134,74
140,94,142,96
132,90,140,90
174,90,156,86
100,76,120,70
102,70,118,60
132,88,130,74
110,88,124,86
108,74,118,82
154,84,154,82
168,90,164,102
136,82,130,86
142,94,142,96
130,88,142,90
110,68,94,64
132,90,132,84
140,86,140,88
180,110,202,114
148,94,150,96
148,82,144,92
144,80,154,86
112,82,136,74
102,72,120,76
164,98,160,96
110,80,124,80
122,76,120,70
126,66,130,76
108,80,130,84
136,84,140,80
194,118,180,116
128,80,136,90
124,78,124,76
112,68,112,66
132,100,134,88
142,84,144,92
118,80,104,78
112,72,100,68
102,76,114,70
128,74,138,84
112,70,112,74
134,70,126,74
104,76,116,70
102,70,120,78
164,110,146,86
118,82,122,84
110,68,120,74
104,72,122,72
126,110,132,88
100,68,120,70
124,80,114,74
134,82,144,86
132,92,132,80
132,96,142,94
120,70,142,74
124,84,136,88
146,90,162,100
134,82,124,86
130,82,122,82
108,68,120,80
132,82,130,88
150,82,130,84
94,64,118,68
136,88,144,76
124,80,144,84
142,86,138,78
168,120,188,114
122,82,126,74
200,120,154,98
150,86,144,90
102,70,124,82
100,66,122,84
128,88,124,84
154,92,140,86
130,80,138,84
122,78,132,74
138,88,122,88
114,70,118,70
144,92,160,100
118,80,134,84
102,88,116,88
104,58,100,58
134,80,146,94
88,60,100,60
184,120,150,100
138,90,134,86
160,80,160,86
128,78,126,80
244,132,266,152
126,78,134,80
126,60,116,70
140,82,116,86
100,70,104,66
134,62,134,84
118,76,120,80
112,80,108,80
128,74,146,86
148,78,146,82
132,92,142,80
128,84,130,90
110,90,128,74
124,98,132,84
112,72,130,80
120,84,126,82
112,84,138,82
144,110,150,108
88,68,104,66
128,84,124,84
142,92,144,90
154,98,148,88
136,78,138,72
122,92,128,85
172,90,170,98
128,78,126,80
148,90,142,86
160,94,152,84
112,80,120,88
144,82,140,100
122,72,122,66
140,64,136,64
136,82,136,82
128,82,120,82
148,92,152,94
120,70,116,78
114,76,116,86
134,90,160,90
124,70,152,74
128,80,136,84
144,88,166,82
148,84,144,94
170,120,196,118
134,74,134,78
104,74,96,72
98,54,96,66
106,72,118,78
120,78,116,60
210,108,190,96
154,90,140,90
130,78,118,68
132,76,136,74
162,102,170,100
164,94,162,106
146,98,170,100
244,88,240,84
130,90,142,78
146,90,134,84
136,82,120,90
130,88,140,70
118,76,136,86
170,108,176,108
182,100,184,104
120,80,120,84
102,62,108,70
128,92,134,90
120,80,120,80
122,72,120,70
142,106,144,98
100,60,112,66
134,94,136,90
104,60,96,74
162,82,186,76
118,68,124,70
134,68,114,64
144,86,146,86
132,82,144,92
164,96,156,90
138,84,120,72
112,80,122,74
152,104,170,102
122,68,114,62
122,80,108,64
128,70,130,58
162,110,154,96
134,80,140,86
104,66,138,80
148,84,144,76
138,88,144,84
130,72,130,76
138,78,124,74
110,74,130,84
118,80,134,86
172,108,190,118
146,96,152,100
102,74,116,80
168,110,166,110
132,82,142,88
118,80,128,80
136,90,166,96
142,100,128,80
110,70,114,74
158,90,160,90
154,84,158,96
112,82,124,86
148,90,168,88
112,78,116,82
166,98,160,98
152,90,150,84
102,60,114,68
132,78,152,82
168,92,164,92
160,92,148,80
132,70,118,70
134,74,124,84
152,80,126,82
144,78,164,86
130,68,130,82
150,94,150,110
132,80,144,80
128,72,124,76
152,88,156,94
128,86,128,88
104,74,104,70
112,76,114,66
120,88,126,72
104,74,112,80
136,90,156,94
118,82,126,84
132,84,138,82
94,68,110,74
122,74,136,80
110,72,114,78
152,82,148,86
136,92,142,98
148,90,128,92
170,88,174,90
102,80,120,84
124,72,136,76
142,90,134,88
152,102,162,100
102,70,112,72
98,56,96,66
100,72,96,70
128,76,124,82
144,64,134,66
120,70,120,74
120,70,124,70
122,80,142,74
108,84,110,64
110,78,126,84
122,80,118,78
112,68,124,74
118,78,128,78
114,68,118,68
150,80,146,80
122,80,130,74
128,78,132,88
122,80,132,76
114,74,136,94
120,80,116,86
114,72,114,70
178,124,170,116
168,88,154,88
108,72,106,72
150,80,148,80
124,86,124,86
176,100,176,96
134,80,122,72
130,102,146,94
148,80,126,76
144,90,140,84
158,94,162,94
130,88,124,94
144,80,152,92
138,82,120,76
100,58,112,58
122,82,138,88
120,82,122,82
142,86,150,84
122,80,136,82
108,82,116,78
152,92,144,88
128,82,142,84
114,72,124,88
120,68,114,68
138,80,138,78
102,72,110,76
140,90,144,68
92,70,112,70
144,86,142,78
182,92,174,88
132,84,128,80
118,76,138,84
102,72,116,82
138,80,138,70
112,78,124,84
134,94,150,90
102,66,120,78
122,68,128,70
130,80,128,84
152,90,140,90
116,78,120,80
134,90,140,100
136,66,136,80
136,80,160,80
120,68,116,64
152,84,158,90
136,88,150,94
172,130,176,114
142,94,144,98
108,76,118,70
162,86,154,90
124,68,110,66
108,68,124,84
114,80,138,74
138,78,144,84
138,64,146,78
112,90,126,76
152,110,148,104
122,76,116,66
164,88,142,84
120,66,108,64
142,84,150,84
116,76,124,74
118,70,114,76
128,68,118,74
128,72,142,78
112,86,122,68
92,72,112,70
118,76,136,76
138,86,128,86
192,90,172,100
104,68,110,66
168,92,155,104
130,84,132,84
162,92,160,114
114,64,110,74
122,90,132,74
112,90,116,70
136,88,156,90
108,72,118,76
164,98,180,102
182,100,192,104
104,72,112,84
134,86,150,82
118,66,112,60
144,88,144,92
144,100,144,98
104,66,116,76
96,70,118,70
150,80,140,90
128,80,130,76
138,78,122,74
102,60,118,66
152,94,176,94
148,96,154,100
118,78,124,70
92,50,102,58
124,64,114,68
130,90,118,74
142,92,170,104
92,62,122,72
130,80,126,80
132,90,124,90
110,64,120,70
118,78,124,78
122,68,118,68
142,82,148,90
108,68,126,70
122,78,122,74
162,108,170,106
94,72,108,66
158,92,144,90
94,66,136,84
132,84,144,90
120,80,116,60
142,102,134,86
88,58,100,68
120,80,126,76
112,74,132,78
122,70,118,78
130,102,140,100
108,60,114,72
150,98,168,96
140,84,152,94
114,70,168,86
122,92,138,82
92,72,116,66
128,80,144,76
152,92,152,94
116,78,118,80
132,82,132,86
152,84,150,94
106,66,110,76
130,80,124,80
150,78,158,76
122,74,126,80
118,72,144,96
142,90,146,94
126,72,130,94
162,98,170,104
136,90,168,96
112,70,124,74
146,84,134,82
118,68,110,70
138,78,132,84
138,84,128,90
162,92,152,100
164,90,168,86
124,72,122,72
126,82,138,88
160,94,158,94
124,78,116,78
132,84,134,76
138,90,146,94
134,90,124,86
138,70,120,70
144,78,144,84
112,74,124,76
170,90,186,108
108,68,118,70
142,110,140,90
100,60,104,66
142,88,140,84
108,86,114,74
132,88,134,94
122,70,116,72
144,90,156,100
150,90,174,102
144,108,148,104
114,72,146,86
108,60,112,66
152,92,146,88
124,74,116,60
124,80,132,90
120,80,116,78
130,90,120,86
108,58,104,56
178,98,186,108
108,80,118,76
98,58,106,60
128,68,120,82
158,110,138,86
118,72,132,82
128,78,132,88
152,110,186,90
182,90,166,84
168,110,138,100
142,92,138,88
148,100,154,100
160,108,154,102
118,76,116,76
128,76,116,76
108,68,112,70
142,82,144,94
110,82,120,84
112,86,120,80
122,80,126,84
108,70,118,72
108,72,136,78
126,64,158,74
96,60,110,60
118,66,126,76
150,92,148,96
102,68,124,82
122,82,128,78
128,70,124,66
