Data on blood pressures measured by both a physcian and a nurse on the same visit,,,
Not a controlled experiment since the nurse's bp was measured first.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
NurseSbp,NurseDbp,PhysSbp,PhysDbp
128,80,136,82
108,70,124,78
138,78,134,74
142,78,130,88
142,88,156,84
126,78,134,76
148,96,168,100
126,76,118,68
144,100,166,112
122,92,142,96
140,90,146,96
144,78,134,84
108,72,124,78
80,68,100,72
124,76,134,76
169,96,170,94
144,88,144,88
122,78,134,72
190,108,204,106
148,90,164,92
134,74,138,86
132,96,140,92
112,70,110,70
128,94,140,102
126,80,112,70
130,78,152,84
118,78,120,76
136,92,136,78
128,80,120,80
174,114,210,114
158,86,152,88
148,80,128,88
108,66,114,70
132,110,160,114
106,66,98,76
154,102,164,106
158,110,145,98
102,66,126,70
136,86,164,90
134,74,148,80
106,64,100,68
128,82,134,82
164,98,166,90
136,96,154,104
122,70,126,80
124,90,132,94
152,92,176,84
158,94,146,94
110,82,118,80
124,76,122,80
172,90,172,94
114,78,150,80
158,96,158,78
124,80,124,76
114,82,111,79
134,70,126,64
124,80,114,86
150,98,150,102
122,80,130,72
118,68,128,84
122,98,150,100
132,92,134,98
128,80,124,88
130,98,146,88
140,88,148,88
126,82,124,76
116,72,124,74
140,94,126,80
140,80,150,80
164,100,180,106
138,92,130,88
118,68,134,80
136,84,150,80
138,96,122,82
116,78,132,80
152,90,150,84
102,66,108,68
120,70,114,70
140,96,136,94
134,72,128,73
124,80,130,90
138,90,122,88
156,94,160,94
162,98,154,92
142,100,146,100
114,74,136,82
122,64,120,65
112,82,124,70
150,80,118,68
138,82,136,82
108,68,110,76
108,72,114,80
132,70,148,82
106,80,114,72
132,90,116,76
148,84,146,94
112,88,110,84
110,70,136,84
168,112,144,98
118,76,128,76
104,78,102,72
118,90,142,80
132,104,135,89
142,90,122,72
136,74,148,76
144,84,144,84
138,88,126,86
132,80,134,96
134,82,128,80
138,90,130,92
138,92,138,88
142,88,130,76
106,68,110,70
140,78,156,82
142,90,130,80
130,82,130,88
150,92,156,98
122,82,126,86
172,92,170,100
154,72,146,90
124,86,124,84
120,80,126,74
122,92,138,90
152,94,140,80
148,94,148,94
134,78,144,80
122,80,122,78
150,108,144,100
118,78,142,80
130,82,140,92
100,80,112,70
106,66,114,68
154,100,138,92
120,80,132,74
150,90,140,90
114,72,120,72
114,76,128,74
112,80,120,70
108,66,120,72
146,90,142,80
118,68,122,76
128,82,144,92
130,60,124,50
124,70,132,84
144,98,154,104
132,82,154,84
140,90,148,78
122,74,130,84
128,78,116,78
112,74,124,80
158,108,160,108
122,72,118,78
138,92,136,94
104,60,100,60
122,66,126,70
148,88,156,84
160,100,152,96
140,78,144,84
122,70,124,78
156,96,160,96
116,76,118,76
160,102,164,108
102,76,116,70
124,70,156,82
140,70,130,78
108,74,120,80
128,78,124,64
108,64,112,76
172,102,188,116
106,60,116,80
174,94,164,80
152,102,156,114
118,80,124,70
104,82,134,82
160,92,138,98
118,80,131,88
142,92,132,88
132,94,134,84
142,72,140,80
172,102,156,98
112,72,122,80
102,72,134,74
158,96,186,98
118,72,134,78
136,78,152,84
126,88,142,88
128,90,140,88
156,92,154,108
132,82,114,82
114,68,138,78
110,90,114,70
156,98,144,94
110,70,104,66
134,80,120,82
174,90,168,80
124,70,158,73
122,88,132,96
128,78,132,80
104,64,122,72
102,68,124,72
122,82,134,84
146,90,144,90
128,70,134,72
124,82,142,70
112,76,122,86
144,84,134,80
136,78,138,86
124,76,120,80
124,68,110,70
128,78,142,90
136,94,174,104
158,86,160,82
120,88,118,70
120,90,130,76
112,80,112,72
108,66,110,60
146,98,152,94
130,86,140,88
112,70,112,74
108,82,114,88
138,84,144,92
118,72,112,68
132,102,148,98
148,110,150,116
132,82,146,84
116,84,120,68
112,90,114,76
144,72,146,88
108,66,96,64
92,68,108,60
150,84,168,100
112,72,106,74
116,68,116,58
168,88,162,88
156,98,172,106
118,68,112,66
144,82,148,92
172,104,174,96
162,70,136,64
134,96,144,90
174,104,170,100
130,80,132,84
142,92,124,90
132,80,124,80
122,92,128,92
128,82,132,88
156,100,172,98
108,70,126,84
142,86,134,74
128,78,134,90
100,60,120,70
134,80,140,90
122,90,132,92
124,72,122,76
158,96,122,82
120,70,120,70
128,76,142,80
118,78,114,74
140,92,158,98
102,66,104,72
138,84,122,86
118,84,120,84
92,62,114,76
136,80,132,78
140,88,140,82
140,80,138,84
108,80,134,86
116,82,132,80
154,84,144,84
160,82,152,82
134,86,138,90
190,102,156,98
148,78,138,80
112,78,120,94
108,70,120,76
144,96,144,102
112,78,122,72
112,76,118,84
144,80,144,90
92,64,106,70
110,60,122,68
122,82,114,88
144,84,144,90
102,66,126,72
128,66,112,66
110,80,146,90
90,62,114,74
134,82,130,84
130,80,134,76
214,150,186,120
152,92,144,80
100,72,114,70
94,68,114,64
134,80,136,88
104,60,102,62
136,76,146,74
112,78,118,74
122,92,138,90
154,90,138,84
162,110,178,108
114,82,104,80
120,68,102,68
132,88,142,82
148,84,126,88
94,72,114,74
152,90,158,86
100,72,130,76
120,92,120,84
148,90,142,98
128,80,126,82
132,82,124,68
158,98,158,88
142,82,122,84
152,84,156,102
122,82,124,68
164,94,142,90
158,110,154,90
150,78,154,70
102,76,132,84
132,92,138,86
152,90,164,100
122,56,106,36
120,70,132,78
152,90,150,94
110,66,110,64
118,74,116,70
130,76,124,70
128,88,128,92
148,94,156,92
152,98,150,82
184,112,188,106
144,92,124,84
116,80,126,86
154,80,155,88
118,70,128,88
130,84,146,88
138,92,134,94
146,94,142,92
104,80,110,66
134,84,150,96
168,108,174,112
148,82,132,80
128,90,122,78
156,84,148,80
134,78,124,76
122,74,126,68
134,80,146,84
142,88,132,72
112,64,108,58
118,80,142,86
144,98,146,98
128,88,120,74
168,102,174,110
130,78,120,82
154,92,165,88
154,88,162,84
138,90,144,86
118,62,116,66
142,80,142,70
138,90,154,90
122,88,136,92
118,72,134,86
134,98,132,84
116,80,120,82
138,70,136,88
126,78,132,88
120,78,134,92
114,70,130,80
122,72,144,74
142,88,144,86
134,90,124,84
132,72,136,80
118,60,118,58
132,80,132,86
148,86,144,92
124,80,140,84
116,74,124,76
100,64,112,66
106,68,130,60
152,92,162,104
140,86,148,94
138,90,120,82
112,68,102,64
128,76,114,76
122,64,108,64
114,64,130,72
128,82,144,90
124,70,128,72
174,90,174,92
124,92,120,80
100,80,110,70
114,70,122,74
108,82,110,72
150,110,136,86
126,78,132,78
168,88,182,92
162,88,160,80
156,78,146,58
124,84,142,96
168,94,168,102
132,84,126,74
130,76,128,80
142,78,142,70
144,76,154,78
126,80,132,74
116,66,118,70
152,110,150,92
136,78,142,78
122,74,130,76
116,70,118,78
112,70,120,68
138,98,144,100
112,80,104,76
104,74,96,64
98,68,114,78
122,72,146,88
146,102,130,86
112,78,116,74
148,82,152,90
110,62,118,66
122,80,138,86
118,76,136,76
132,88,128,80
156,92,140,80
144,80,150,90
132,92,120,64
154,96,162,92
100,60,92,62
118,72,124,76
108,76,130,70
154,70,138,90
116,78,114,58
148,82,140,78
132,82,120,79
158,80,134,82
112,70,114,74
128,88,126,86
184,88,166,72
138,88,150,84
168,92,172,94
118,84,132,88
128,74,114,74
142,90,130,88
92,54,100,64
122,80,114,86
158,112,150,90
164,100,162,92
102,62,110,64
120,82,116,90
148,84,164,84
118,72,114,82
144,72,156,80
160,90,180,92
164,96,146,90
162,100,160,88
146,90,144,82
142,72,144,76
138,84,142,84
150,92,152,90
152,90,156,95
144,84,132,76
128,74,134,70
122,78,124,76
114,76,140,92
134,90,134,88
148,100,136,88
154,84,136,84
114,72,116,74
114,64,134,74
114,82,152,82
124,78,136,76
118,78,128,82
96,70,120,68
106,78,110,82
134,102,130,95
120,84,110,72
126,78,128,76
122,88,130,86
118,78,130,82
132,78,132,84
124,84,134,96
154,74,170,84
164,80,170,84
116,82,122,84
154,108,150,100
118,78,128,82
140,88,132,86
130,100,136,93
106,66,116,60
126,78,122,78
122,64,126,66
148,108,164,104
112,76,114,64
164,96,164,94
116,78,142,80
108,70,104,72
104,70,116,64
144,96,188,108
130,78,144,74
122,72,132,78
150,94,126,82
122,72,124,80
170,108,170,98
158,92,140,84
132,78,150,70
128,78,148,76
140,90,130,78
120,80,128,80
168,90,164,88
118,86,120,88
122,100,116,74
150,94,162,94
162,100,110,86
118,72,120,78
122,70,130,72
136,90,142,92
194,96,180,94
142,90,152,94
122,80,119,74
134,60,146,70
108,58,116,70
174,118,176,110
168,94,150,90
112,70,120,66
140,98,144,98
154,86,158,94
134,92,132,90
130,92,144,100
108,68,104,76
148,66,160,70
142,92,146,86
158,90,170,102
138,92,146,82
154,104,156,104
152,108,136,92
152,110,164,102
158,96,146,96
184,104,184,104
104,60,106,64
142,90,140,96
128,78,124,80
92,76,116,66
78,58,116,78
102,74,94,62
122,78,122,86
122,66,130,72
116,74,130,82
144,72,130,74
212,102,174,82
122,84,134,86
134,68,126,70
126,90,144,94
90,72,106,70
128,82,132,82
172,122,182,120
184,100,170,95
124,66,112,60
130,82,102,70
138,90,136,94
96,68,112,80
106,60,99,71
142,88,132,84
138,80,126,70
124,78,112,72
126,84,126,84
118,90,124,94
128,82,136,88
150,88,134,80
112,80,120,82
102,68,102,68
112,66,112,64
188,90,186,96
162,92,170,106
134,86,136,86
104,66,124,76
148,92,166,110
208,108,196,126
118,70,109,70
122,68,126,74
108,70,134,76
142,72,160,80
128,78,124,78
168,100,152,102
122,70,120,76
134,86,158,100
124,84,122,88
102,70,110,76
154,100,156,102
140,84,166,100
170,110,168,104
118,76,134,80
128,76,132,82
108,70,130,86
182,104,154,94
108,72,104,68
96,70,118,78
158,96,160,102
142,90,144,86
112,70,132,76
150,80,156,84
148,84,160,88
112,78,122,78
112,76,120,76
150,94,162,90
126,82,124,90
114,78,120,80
128,76,126,78
174,104,162,92
168,98,172,108
152,110,134,98
124,90,120,74
126,78,124,84
142,100,150,98
168,98,152,88
118,72,116,64
104,78,110,74
138,90,130,78
124,78,142,74
120,82,116,76
160,100,162,86
132,90,120,82
138,90,130,86
158,94,146,94
160,108,160,112
152,92,162,102
152,94,138,92
144,90,152,96
138,100,136,94
112,82,104,76
118,72,154,80
152,80,154,86
132,98,170,102
102,60,132,76
138,90,120,90
126,76,130,82
132,84,126,80
142,98,166,94
128,80,112,72
158,96,152,92
118,66,116,56
132,88,128,78
140,86,150,94
96,58,114,68
144,90,134,80
124,70,120,70
108,60,124,70
118,86,114,84
110,70,110,60
112,64,114,68
102,62,114,64
138,80,144,90
152,108,154,104
154,102,162,94
142,90,132,78
132,90,140,87
126,78,116,76
134,86,120,80
118,72,114,85
140,92,124,84
136,88,134,80
108,76,112,80
128,82,154,88
114,72,112,62
142,88,142,90
142,90,156,94
164,94,144,78
122,92,150,90
106,72,120,74
154,110,148,96
164,100,134,80
158,76,146,72
148,92,136,104
122,76,124,78
72,56,85,62
132,84,134,80
146,80,146,84
154,62,160,68
94,74,118,72
146,102,154,116
114,78,120,70
126,84,138,104
142,88,150,82
112,80,118,70
130,84,128,84
152,86,148,82
144,90,142,66
112,76,116,78
152,88,160,94
118,74,130,80
186,102,168,102
128,98,136,94
134,88,156,96
148,80,140,88
118,70,116,70
142,92,152,98
136,88,164,88
158,92,170,106
120,66,130,62
128,78,160,82
132,60,130,76
148,76,160,74
152,120,166,108
112,76,110,80
126,86,128,80
122,82,112,78
112,86,120,88
162,118,170,124
116,80,100,62
104,66,130,66
92,60,108,62
144,90,150,102
92,62,108,70
154,98,158,108
120,74,126,70
152,78,140,74
134,92,108,76
128,76,132,84
132,80,130,92
114,84,126,74
122,84,136,84
108,78,120,84
160,90,166,92
168,98,158,96
106,72,104,62
114,50,102,56
142,84,140,86
122,76,124,82
124,76,116,82
144,84,162,90
94,60,84,54
132,88,144,88
118,72,116,76
108,72,106,74
130,94,122,84
138,84,154,98
106,64,90,62
112,72,112,82
142,84,144,94
118,78,118,76
152,108,126,92
112,72,130,84
122,84,134,84
144,76,146,94
168,96,168,98
104,70,112,74
174,128,160,114
144,98,146,104
130,78,134,80
128,88,132,74
108,80,108,78
146,90,144,102
104,68,112,62
118,80,130,78
102,70,132,84
154,94,160,92
146,86,148,84
122,72,124,70
108,64,116,68
176,104,172,104
92,66,96,66
104,74,110,78
150,84,134,90
112,76,110,80
128,70,128,84
146,100,150,92
142,70,144,80
128,78,116,76
168,88,162,82
102,54,114,66
118,82,114,84
130,82,136,88
126,84,134,78
122,72,120,78
180,82,202,100
118,78,136,84
124,78,124,80
174,112,164,106
146,94,124,82
124,80,126,84
114,72,120,70
164,82,164,78
142,80,148,90
100,62,116,80
120,68,114,68
102,72,118,74
126,78,126,84
140,92,138,90
148,98,138,86
134,78,136,78
150,88,160,100
122,74,132,80
130,88,140,100
188,106,186,114
160,92,142,90
100,60,100,72
132,86,158,90
154,94,146,90
160,94,156,96
142,86,140,70
128,72,122,74
120,82,126,80
160,76,152,90
142,90,138,90
98,70,94,62
112,58,104,62
128,76,142,80
158,102,142,90
224,94,218,105
100,62,98,70
146,72,154,66
138,78,140,84
110,68,134,76
110,70,130,74
200,132,190,130
148,88,156,96
122,62,114,72
94,50,96,64
128,82,132,90
114,70,140,76
140,102,100,84
142,82,142,72
170,98,174,106
112,72,138,84
106,64,126,70
128,86,152,88
142,80,130,72
144,86,134,96
154,96,158,108
114,70,120,70
122,80,112,70
108,64,114,76
128,86,134,88
142,66,134,82
112,78,120,82
128,78,120,78
118,70,120,78
130,84,138,78
144,82,150,80
116,80,128,80
128,76,142,84
116,74,124,70
118,70,120,64
122,86,132,86
152,92,164,90
118,88,152,86
108,70,100,76
94,68,112,64
114,80,128,78
110,90,112,84
160,92,158,98
122,84,124,76
112,80,120,80
128,84,134,82
124,78,116,76
112,70,116,80
198,112,185,108
114,70,130,70
186,110,210,120
124,80,134,80
108,60,114,70
182,104,172,96
124,76,120,84
140,88,130,86
134,78,124,86
128,86,148,94
108,68,110,74
102,80,128,90
134,90,152,86
144,82,138,84
132,70,130,72
132,90,134,70
148,84,166,96
178,96,164,82
120,70,114,86
188,84,164,90
132,82,126,88
140,76,144,92
126,82,128,72
134,78,132,76
108,64,100,62
136,84,130,82
168,90,164,100
136,78,124,70
134,86,154,96
162,108,188,108
132,86,124,84
100,60,134,84
132,78,134,82
132,88,138,92
100,68,100,70
104,64,110,64
102,78,120,70
142,82,136,76
140,96,166,86
122,88,119,69
134,92,154,98
104,76,123,78
120,82,106,66
142,80,144,80
152,88,146,86
142,90,124,82
138,88,148,94
172,110,166,92
172,100,190,102
114,60,110,68
136,78,122,74
152,100,144,80
148,82,144,88
182,92,196,104
122,80,132,82
120,76,122,86
160,80,172,92
120,68,110,62
102,72,104,76
102,74,118,70
124,78,146,82
124,90,116,86
128,74,118,72
108,66,122,72
134,90,160,100
196,98,174,98
142,88,128,84
112,70,120,80
94,72,118,64
114,82,126,74
138,74,142,88
142,100,136,82
108,70,122,68
178,102,172,104
118,66,114,60
134,80,160,80
118,76,128,84
142,70,128,76
154,90,142,92
122,82,142,94
140,78,134,64
136,78,122,56
158,92,160,95
164,90,152,80
108,70,128,88
138,80,124,78
144,92,156,92
140,88,164,92
96,54,108,70
92,56,98,58
122,70,114,70
114,78,116,80
128,82,132,90
134,104,144,96
128,78,126,85
136,82,144,80
128,88,130,86
124,72,124,66
146,88,152,94
120,74,102,70
160,110,150,86
98,60,100,70
140,70,130,64
110,88,126,86
114,84,120,84
142,100,108,78
128,78,136,80
148,96,140,84
142,90,156,98
102,74,126,78
152,110,162,100
134,104,142,98
138,78,140,82
122,90,134,86
166,80,154,76
114,72,120,82
162,96,154,96
134,96,132,92
134,70,124,66
162,110,162,88
144,86,138,90
132,80,132,80
142,76,120,76
118,80,142,86
146,84,130,80
148,86,140,84
128,74,126,70
120,92,126,96
146,86,132,80
112,80,118,80
92,70,114,60
108,68,112,70
136,70,156,84
124,82,124,84
108,68,142,76
150,120,174,98
142,90,146,88
118,76,110,70
154,92,140,92
158,80,164,90
122,74,114,74
168,102,172,116
118,74,124,70
134,90,140,84
130,88,120,80
136,80,131,74
130,80,124,76
182,128,184,126
116,78,112,70
92,60,108,72
120,80,136,82
122,90,124,86
108,58,94,46
158,100,148,90
114,88,130,90
132,82,140,82
108,80,108,76
128,82,136,88
108,72,118,72
112,70,96,70
118,74,136,70
120,80,124,88
138,88,126,74
132,80,136,64
154,92,152,94
112,78,106,72
144,98,144,90
160,92,168,94
128,74,146,72
154,96,162,96
132,82,120,84
116,70,138,88
162,82,170,88
130,84,146,98
142,90,128,92
158,112,160,114
190,128,166,116
104,72,108,68
110,62,110,74
130,94,128,88
126,70,116,74
120,90,110,68
140,80,130,82
134,86,150,100
112,64,118,68
142,88,126,80
118,72,120,76
90,68,100,58
152,80,146,94
110,66,116,70
122,90,112,74
114,76,122,80
112,74,114,74
170,102,172,96
132,78,128,74
142,100,126,88
138,94,140,100
148,80,146,84
164,86,156,80
142,90,150,88
134,78,152,84
128,78,128,78
138,86,152,94
108,64,118,76
162,104,154,106
98,66,112,68
120,74,134,90
138,88,138,90
120,80,144,80
102,82,122,78
172,102,174,104
154,110,160,104
146,74,144,72
182,96,200,105
116,82,128,78
102,66,104,54
126,72,136,72
168,82,168,90
132,80,136,78
108,68,114,70
130,84,164,96
126,78,128,89
122,86,124,80
100,66,114,68
108,72,120,72
100,70,110,72
112,68,108,56
144,88,146,82
164,88,174,100
122,80,106,64
148,90,152,100
148,80,152,84
124,74,116,66
102,70,108,66
136,78,152,84
122,84,112,70
134,74,120,82
98,72,94,68
104,80,110,82
176,88,148,80
92,60,128,70
158,86,152,86
132,98,158,102
144,84,150,84
104,74,116,72
120,70,128,64
134,80,144,92
146,90,166,112
140,86,128,70
172,92,170,98
138,82,144,88
124,90,120,66
158,94,190,90
126,72,124,78
128,70,154,86
148,78,142,88
156,88,134,86
132,84,162,94
132,90,136,94
118,74,132,74
118,72,110,72
114,72,124,80
110,82,124,82
130,92,128,88
142,104,160,102
134,78,152,86
124,78,140,78
126,80,132,84
128,76,150,78
110,80,118,72
122,78,124,84
134,96,154,84
132,90,130,90
130,82,120,74
122,66,116,74
140,60,110,68
108,60,126,74
110,72,136,80
144,100,152,90
112,80,116,72
72,54,106,68
154,90,146,80
132,82,162,90
114,68,124,76
120,78,118,64
120,86,126,84
108,74,112,70
134,76,130,76
98,64,104,76
118,76,118,82
152,90,150,90
112,82,126,86
130,90,148,84
110,70,98,72
138,96,134,96
130,70,118,56
128,60,126,80
184,92,196,98
162,92,150,105
200,120,222,124
170,92,162,104
100,70,104,66
124,90,118,75
128,80,130,76
138,76,142,76
134,72,134,84
122,86,124,90
128,88,128,76
104,76,110,80
134,88,134,80
116,78,130,78
182,92,164,84
128,82,128,80
210,92,200,104
148,90,150,94
162,106,160,114
132,78,136,74
138,90,154,94
102,60,104,74
130,76,140,90
150,84,168,76
158,78,142,80
158,98,160,92
142,88,132,82
108,68,116,68
112,70,116,60
154,100,156,100
122,82,110,86
122,74,154,80
136,72,138,84
176,118,158,110
146,92,138,84
132,92,136,86
102,72,120,84
120,72,142,72
122,72,118,78
132,90,132,82
106,64,114,70
192,136,156,112
122,80,118,76
112,70,102,56
134,90,134,80
102,62,114,56
114,80,128,80
126,78,140,88
168,86,150,80
152,122,164,122
124,90,134,76
134,90,134,88
94,66,120,74
92,54,96,64
148,100,144,98
112,88,138,74
178,118,180,118
130,74,124,70
136,72,124,84
176,104,186,108
98,66,110,74
128,76,124,80
104,74,144,90
134,88,126,82
158,84,138,84
144,94,130,90
134,82,132,92
136,92,146,98
108,64,122,64
120,82,128,88
158,92,182,88
154,104,150,90
122,68,130,78
104,82,118,84
162,108,150,92
152,80,144,76
118,78,120,76
106,70,140,73
118,76,124,82
118,80,122,80
158,112,164,110
154,92,144,80
124,100,172,100
168,110,166,98
128,72,136,84
102,68,100,60
110,80,114,70
126,82,126,88
142,92,134,88
132,102,144,106
150,100,162,96
102,78,110,72
152,92,148,92
108,74,118,78
122,80,130,88
118,78,110,72
124,74,140,62
168,122,154,106
168,90,168,86
130,86,142,88
182,90,166,88
122,82,130,88
144,92,144,78
114,86,134,82
118,76,154,80
116,74,120,82
142,98,140,88
134,74,132,80
142,84,144,86
112,76,126,82
138,80,130,80
144,82,142,90
154,80,156,94
132,80,134,72
124,86,142,76
104,74,122,64
120,76,124,74
140,90,132,82
124,78,138,86
122,74,110,76
94,72,120,72
128,76,122,86
102,72,122,78
128,90,122,76
108,72,116,80
196,116,168,108
112,80,146,86
112,92,132,84
132,80,146,92
98,60,114,72
122,68,122,62
148,100,138,92
162,100,154,96
130,78,134,74
110,78,110,74
130,80,136,88
176,108,186,112
120,84,142,90
146,104,134,100
134,88,142,92
174,100,152,96
196,118,176,118
134,82,120,86
148,102,166,108
126,76,136,76
102,78,122,80
132,82,152,86
132,72,120,74
104,62,114,74
104,66,138,80
124,88,138,82
136,80,148,80
148,88,150,94
100,60,118,72
140,72,142,90
98,66,122,72
128,80,138,78
158,90,176,84
166,78,154,86
136,82,142,90
138,88,144,86
136,84,154,78
118,60,110,68
122,84,120,78
154,98,142,96
152,70,136,66
128,74,126,78
116,64,114,50
114,72,124,90
108,58,118,64
158,110,156,116
122,68,130,86
134,88,142,86
164,100,152,106
156,80,152,84
142,84,150,88
166,112,156,100
110,64,104,66
112,74,124,74
98,60,118,62
152,90,156,98
118,92,138,90
132,92,120,88
94,62,100,68
142,92,160,90
148,90,140,78
138,84,150,81
136,78,118,76
120,74,120,74
118,72,110,70
88,60,100,66
112,72,124,74
108,70,104,70
150,90,164,90
136,82,130,74
132,62,146,68
122,60,130,72
114,80,126,76
152,88,148,80
138,86,130,76
130,86,126,84
144,90,132,80
110,60,120,60
110,76,112,72
142,82,126,86
168,90,168,84
126,72,144,76
122,78,122,70
154,100,140,82
118,78,120,74
124,74,128,82
130,80,132,84
132,92,136,92
128,90,134,88
144,100,130,80
132,90,138,84
174,92,180,98
144,88,144,96
106,68,120,70
142,100,136,84
122,88,128,88
122,90,112,70
128,80,114,84
134,82,152,88
116,68,110,82
140,88,142,86
108,70,120,70
148,84,144,88
114,76,124,80
112,62,96,68
102,70,114,72
138,90,144,94
122,80,120,66
136,80,108,72
160,110,170,110
92,68,86,64
148,90,142,72
108,68,124,70
134,76,136,80
166,110,186,120
112,80,124,88
102,78,118,68
122,76,118,70
152,88,132,86
152,100,156,102
132,80,132,94
122,80,118,74
164,100,172,94
102,70,106,70
106,64,118,76
166,88,174,96
142,90,154,94
120,76,124,84
116,66,110,74
104,54,98,58
178,100,188,102
138,78,122,84
114,66,114,64
108,68,110,64
134,80,136,82
156,90,174,90
148,98,158,96
114,82,124,74
136,78,124,86
118,62,130,80
116,74,122,82
128,70,140,80
118,78,124,84
160,92,150,90
154,100,124,88
150,90,138,76
148,90,176,84
164,92,184,110
108,68,104,60
120,68,122,72
118,82,134,82
172,108,164,94
134,78,134,92
130,80,146,82
138,86,150,94
116,74,118,80
110,72,118,76
144,80,152,80
116,72,124,70
108,70,126,70
178,98,222,106
128,76,114,70
112,70,142,72
108,54,102,60
126,76,138,80
112,78,112,82
162,92,166,92
144,90,164,98
144,82,136,82
140,98,142,88
178,88,184,88
136,80,120,84
104,74,132,72
148,88,158,90
128,84,112,82
138,98,134,90
144,90,150,80
138,72,144,78
102,50,96,64
132,78,144,86
126,80,126,86
134,74,140,84
122,88,136,88
106,68,106,68
132,88,136,96
148,92,134,80
164,96,170,94
120,78,114,72
126,86,132,84
138,82,140,80
136,84,139,91
104,86,114,80
110,74,126,78
144,86,176,108
158,88,162,88
126,72,150,76
130,82,122,76
104,64,100,64
98,64,116,74
122,68,112,64
128,88,146,96
132,82,134,84
132,100,124,92
132,88,130,88
144,100,138,92
136,86,132,78
172,100,176,100
166,88,142,94
112,76,126,82
168,92,174,86
96,70,96,64
122,74,124,70
148,84,142,80
110,70,114,74
144,90,158,92
126,76,126,74
132,92,158,92
134,78,126,88
218,60,196,70
114,80,130,82
190,120,196,110
162,104,170,98
122,66,120,66
144,82,148,88
130,70,150,76
122,80,126,56
138,86,116,74
100,78,106,70
100,56,106,56
110,76,120,76
122,72,140,100
158,98,154,94
112,68,110,64
142,92,138,78
162,102,154,100
124,76,120,72
152,94,166,88
142,84,132,94
128,86,144,88
140,76,136,84
116,70,120,84
112,72,126,76
114,70,140,74
128,86,124,98
102,80,124,84
126,80,128,82
132,88,134,82
142,90,136,88
132,90,152,86
120,78,116,78
140,80,150,86
136,80,130,86
138,98,144,92
110,66,106,72
138,80,140,88
114,78,118,72
148,90,148,88
124,78,120,82
170,74,154,62
104,72,108,64
102,70,120,75
190,100,174,108
132,78,120,74
148,82,116,84
160,70,156,82
144,72,130,72
130,90,150,84
128,80,136,72
152,88,156,98
110,90,130,88
142,82,138,96
142,86,142,84
180,90,186,102
128,70,122,86
138,86,130,76
160,92,182,88
114,76,108,70
172,96,164,90
120,70,122,70
120,70,116,74
108,80,112,78
152,88,128,84
154,82,156,84
100,80,96,72
128,88,110,80
114,74,110,68
132,78,158,70
142,110,180,95
152,100,184,98
122,82,130,82
90,50,102,66
110,78,112,84
118,60,104,60
130,78,112,70
128,78,123,76
166,100,166,92
160,90,148,90
162,92,152,94
156,100,160,96
166,82,148,90
144,78,144,80
120,70,154,76
150,78,130,80
132,76,130,82
186,94,194,98
178,108,184,106
154,78,158,76
150,94,160,96
116,70,116,70
130,82,126,89
122,74,122,82
148,82,140,78
128,56,110,56
128,74,134,80
122,78,120,74
148,80,156,82
112,72,134,74
156,80,118,76
104,72,120,70
126,78,126,80
132,80,120,84
118,76,110,74
132,88,144,92
180,96,154,90
168,88,150,80
180,100,140,86
152,72,170,74
136,80,146,68
128,74,130,80
110,86,128,88
110,60,116,86
180,94,190,92
122,68,148,72
130,78,138,74
98,74,120,70
200,88,204,84
110,70,114,64
202,90,222,102
170,110,160,102
162,100,156,88
128,78,140,80
218,114,182,100
150,90,178,80
114,70,116,74
130,82,126,74
138,78,154,76
148,76,146,78
132,74,136,76
186,98,174,100
184,110,176,98
114,82,152,86
108,70,104,58
140,90,144,98
180,96,168,100
112,72,102,70
132,76,150,76
112,70,124,74
178,90,190,104
124,84,136,88
162,102,182,100
142,90,156,82
130,80,122,80
210,110,184,96
144,88,166,92
138,84,124,86
148,74,172,90
146,88,152,78
198,100,198,100
144,82,136,84
144,90,152,100
102,76,104,60
146,78,150,80
124,90,136,88
138,64,148,76
100,58,110,66
154,82,154,70
110,72,124,78
120,72,126,74
172,100,144,94
120,82,156,84
124,96,136,100
188,108,170,96
132,80,160,66
154,102,164,98
178,78,172,88
154,90,146,78
158,108,170,110
132,90,124,70
122,70,116,76
162,70,190,84
140,96,154,94
172,96,178,82
118,60,110,60
140,82,140,84
172,88,212,110
118,74,106,64
152,70,180,92
140,110,172,104
162,86,162,84
158,92,176,96
132,80,142,76
116,68,122,78
140,80,142,72
122,62,118,72
144,96,146,96
152,82,250,100
150,88,162,90
130,80,136,72
128,48,120,50
104,60,110,60
160,98,134,92
148,76,158,80
168,98,192,104
196,88,194,84
118,76,114,80
140,72,154,68
114,60,120,82
126,70,114,60
134,64,160,68
142,88,150,84
160,94,162,98
116,70,121,83
124,72,108,70
164,94,182,90
118,74,114,70
108,64,105,73
120,84,130,82
148,78,146,78
138,82,136,86
160,94,170,96
124,68,124,76
142,90,124,62
140,78,154,92
136,86,126,86
138,82,138,78
144,90,154,98
134,74,156,82
114,70,114,70
166,86,164,94
160,100,156,74
158,78,146,74
160,90,160,100
112,66,124,70
182,102,208,104
202,88,198,82
144,78,150,76
112,82,108,80
114,90,136,80
120,70,120,68
160,78,136,76
90,50,124,72
124,70,124,74
188,82,220,90
